No,Instruction,Type,Distance,A_Speed,B_Speed,C_Speed,D_Speed,Limit,AddTime_A,AddTime_B,AddTime_C,AddTime_D,Lat,Long
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
,,a,,,,,,,,,,,,
